******Format of cpu stats log file: Date/Time     CPU Temp        Load Average    CPU Frequency   Governor***
Mon Apr 26 18:00:18 PDT 2010  37        7.48 2.32 0.85 12/178 11344        800000        conservative
Mon Apr 26 18:00:19 PDT 2010  37        7.48 2.32 0.85 12/178 11350        800000        conservative
Mon Apr 26 18:00:21 PDT 2010  37        7.48 2.32 0.85 12/178 11356        800000        conservative
Mon Apr 26 18:00:22 PDT 2010  37        7.93 2.49 0.92 12/178 11362        800000        conservative
Mon Apr 26 18:00:23 PDT 2010  37        7.93 2.49 0.92 12/178 11368        800000        conservative
Mon Apr 26 18:00:24 PDT 2010  37        7.93 2.49 0.92 13/178 11374        800000        conservative
Mon Apr 26 18:00:26 PDT 2010  37        7.93 2.49 0.92 12/178 11380        800000        conservative
Mon Apr 26 18:00:27 PDT 2010  37        8.49 2.70 0.99 12/178 11386        800000        conservative
Mon Apr 26 18:00:28 PDT 2010  37        8.49 2.70 0.99 12/178 11392        800000        conservative
Mon Apr 26 18:00:30 PDT 2010  37        8.49 2.70 0.99 12/178 11398        800000        conservative
Mon Apr 26 18:00:31 PDT 2010  37        8.49 2.70 0.99 13/178 11404        800000        conservative
Mon Apr 26 18:00:32 PDT 2010  37        8.77 2.86 1.05 12/178 11410        800000        conservative
Mon Apr 26 18:00:33 PDT 2010  37        8.77 2.86 1.05 12/178 11416        800000        conservative
Mon Apr 26 18:00:35 PDT 2010  37        8.77 2.86 1.05 12/178 11422        800000        conservative
Mon Apr 26 18:00:36 PDT 2010  37        9.03 3.01 1.11 12/178 11428        800000        conservative
Mon Apr 26 18:00:37 PDT 2010  37        9.03 3.01 1.11 13/178 11434        800000        conservative
Mon Apr 26 18:00:38 PDT 2010  37        9.03 3.01 1.11 12/178 11440        800000        conservative
Mon Apr 26 18:00:40 PDT 2010  37        9.03 3.01 1.11 12/178 11446        800000        conservative
Mon Apr 26 18:00:41 PDT 2010  37        9.27 3.16 1.17 12/178 11452        800000        conservative
Mon Apr 26 18:00:42 PDT 2010  37        9.27 3.16 1.17 12/178 11458        800000        conservative
Mon Apr 26 18:00:43 PDT 2010  37        9.27 3.16 1.17 12/178 11464        800000        conservative
Mon Apr 26 18:00:45 PDT 2010  37        9.27 3.16 1.17 12/178 11471        800000        conservative
Mon Apr 26 18:00:46 PDT 2010  37        9.65 3.34 1.24 13/178 11477        800000        conservative
Mon Apr 26 18:00:47 PDT 2010  37        9.65 3.34 1.24 12/178 11483        800000        conservative
Mon Apr 26 18:00:49 PDT 2010  37        9.65 3.34 1.24 12/178 11489        800000        conservative
Mon Apr 26 18:00:50 PDT 2010  37        9.65 3.34 1.24 12/178 11495        800000        conservative
Mon Apr 26 18:00:51 PDT 2010  37        9.75 3.46 1.29 12/178 11501        800000        conservative
Mon Apr 26 18:00:53 PDT 2010  37        9.75 3.46 1.29 12/178 11507        800000        conservative
Mon Apr 26 18:00:54 PDT 2010  37        9.75 3.46 1.29 12/178 11513        800000        conservative
Mon Apr 26 18:00:55 PDT 2010  37        9.75 3.46 1.29 13/178 11520        800000        conservative
Mon Apr 26 18:00:56 PDT 2010  37        9.77 3.57 1.34 12/178 11526        800000        conservative
Mon Apr 26 18:00:58 PDT 2010  37        9.77 3.57 1.34 12/178 11532        800000        conservative
Mon Apr 26 18:00:59 PDT 2010  37        9.77 3.57 1.34 12/178 11538        800000        conservative
Mon Apr 26 18:01:00 PDT 2010  37        9.77 3.57 1.34 12/178 11549        800000        conservative
Mon Apr 26 18:01:02 PDT 2010  37        9.87 3.69 1.39 13/178 11556        800000        conservative
Mon Apr 26 18:01:03 PDT 2010  37        9.87 3.69 1.39 12/178 11562        800000        conservative
Mon Apr 26 18:01:04 PDT 2010  37        9.87 3.69 1.39 12/178 11568        800000        conservative
Mon Apr 26 18:01:06 PDT 2010  37        9.87 3.69 1.39 12/178 11574        800000        conservative
Mon Apr 26 18:01:07 PDT 2010  37        10.12 3.85 1.45 14/178 11582        800000        conservative
Mon Apr 26 18:01:08 PDT 2010  37        10.12 3.85 1.45 12/178 11588        800000        conservative
Mon Apr 26 18:01:10 PDT 2010  37        10.12 3.85 1.45 12/178 11594        800000        conservative
Mon Apr 26 18:01:11 PDT 2010  37        10.19 3.97 1.50 12/178 11600        800000        conservative
Mon Apr 26 18:01:13 PDT 2010  37        10.19 3.97 1.50 13/180 11608        800000        conservative
Mon Apr 26 18:01:14 PDT 2010  37        10.19 3.97 1.50 12/178 11614        800000        conservative
Mon Apr 26 18:01:15 PDT 2010  37        10.19 3.97 1.50 12/178 11620        800000        conservative
Mon Apr 26 18:01:16 PDT 2010  37        10.18 4.07 1.55 12/178 11626        800000        conservative
Mon Apr 26 18:01:18 PDT 2010  37        10.18 4.07 1.55 13/178 11632        800000        conservative
Mon Apr 26 18:01:19 PDT 2010  37        10.18 4.07 1.55 11/178 11638        800000        conservative
Mon Apr 26 18:01:20 PDT 2010  37        10.18 4.07 1.55 12/178 11646        800000        conservative
Mon Apr 26 18:01:22 PDT 2010  37        10.16 4.17 1.59 12/178 11652        800000        conservative
Mon Apr 26 18:01:23 PDT 2010  37        10.16 4.17 1.59 13/178 11658        800000        conservative
Mon Apr 26 18:01:24 PDT 2010  37        10.16 4.17 1.59 13/178 11664        800000        conservative
Mon Apr 26 18:01:26 PDT 2010  37        10.16 4.17 1.59 15/180 11673        800000        conservative
Mon Apr 26 18:01:27 PDT 2010  37        10.39 4.31 1.65 12/178 11679        800000        conservative
Mon Apr 26 18:01:28 PDT 2010  37        10.39 4.31 1.65 12/178 11685        800000        conservative
Mon Apr 26 18:01:29 PDT 2010  37        10.39 4.31 1.65 12/178 11691        800000        conservative
Mon Apr 26 18:01:31 PDT 2010  37        10.39 4.31 1.65 12/178 11697        800000        conservative
Mon Apr 26 18:01:32 PDT 2010  37        10.76 4.49 1.72 13/180 11705        800000        conservative
Mon Apr 26 18:01:33 PDT 2010  37        10.76 4.49 1.72 13/178 11711        800000        conservative
Mon Apr 26 18:01:35 PDT 2010  37        10.76 4.49 1.72 12/178 11717        800000        conservative
Mon Apr 26 18:01:36 PDT 2010  37        10.76 4.49 1.72 12/178 11723        800000        conservative
Mon Apr 26 18:01:37 PDT 2010  37        10.78 4.60 1.77 13/178 11729        800000        conservative
Mon Apr 26 18:01:39 PDT 2010  37        10.78 4.60 1.77 13/180 11737        800000        conservative
Mon Apr 26 18:01:40 PDT 2010  37        10.78 4.60 1.77 12/180 11743        800000        conservative
Mon Apr 26 18:01:41 PDT 2010  37        10.87 4.72 1.83 12/178 11749        800000        conservative
Mon Apr 26 18:01:42 PDT 2010  37        10.87 4.72 1.83 12/178 11755        800000        conservative
Mon Apr 26 18:01:44 PDT 2010  37        10.87 4.72 1.83 13/178 11761        800000        conservative
Mon Apr 26 18:01:45 PDT 2010  37        10.87 4.72 1.83 13/178 11767        800000        conservative
Mon Apr 26 18:01:46 PDT 2010  37        11.29 4.91 1.90 12/178 11775        800000        conservative
Mon Apr 26 18:01:48 PDT 2010  37        11.29 4.91 1.90 12/178 11781        800000        conservative
Mon Apr 26 18:01:49 PDT 2010  37        11.29 4.91 1.90 13/178 11787        800000        conservative
Mon Apr 26 18:01:50 PDT 2010  37        11.29 4.91 1.90 12/178 11793        800000        conservative
Mon Apr 26 18:01:52 PDT 2010  37        11.42 5.04 1.96 13/178 11799        800000        conservative
Mon Apr 26 18:01:53 PDT 2010  37        11.42 5.04 1.96 13/178 11807        800000        conservative
Mon Apr 26 18:01:54 PDT 2010  41        11.42 5.04 1.96 13/178 11813        800000        conservative
Mon Apr 26 18:01:56 PDT 2010  41        11.42 5.04 1.96 12/178 11819        800000        conservative
Mon Apr 26 18:01:57 PDT 2010  41        11.63 5.19 2.03 12/178 11825        800000        conservative
Mon Apr 26 18:01:58 PDT 2010  41        11.63 5.19 2.03 12/178 11831        800000        conservative
Mon Apr 26 18:02:00 PDT 2010  41        11.63 5.19 2.03 13/178 11839        800000        conservative
Mon Apr 26 18:02:01 PDT 2010  41        11.63 5.19 2.03 13/178 11845        800000        conservative
Mon Apr 26 18:02:02 PDT 2010  41        11.90 5.35 2.10 12/178 11851        800000        conservative
Mon Apr 26 18:02:04 PDT 2010  41        11.90 5.35 2.10 12/178 11857        800000        conservative
Mon Apr 26 18:02:05 PDT 2010  42        11.90 5.35 2.10 13/178 11863        800000        conservative
Mon Apr 26 18:02:07 PDT 2010  42        11.99 5.48 2.16 13/178 11869        800000        conservative
Mon Apr 26 18:02:08 PDT 2010  42        11.99 5.48 2.16 12/178 11875        800000        conservative
Mon Apr 26 18:02:10 PDT 2010  42        11.99 5.48 2.16 13/178 11881        800000        conservative
Mon Apr 26 18:02:11 PDT 2010  42        11.99 5.48 2.16 12/178 11887        800000        conservative
Mon Apr 26 18:02:12 PDT 2010  42        12.15 5.62 2.22 12/178 11893        800000        conservative
Mon Apr 26 18:02:13 PDT 2010  42        12.15 5.62 2.22 13/179 11900        800000        conservative
Mon Apr 26 18:02:15 PDT 2010  42        12.15 5.62 2.22 12/179 11906        800000        conservative
Mon Apr 26 18:02:16 PDT 2010  42        12.13 5.73 2.27 12/179 11912        800000        conservative
Mon Apr 26 18:02:17 PDT 2010  42        12.13 5.73 2.27 12/179 11918        800000        conservative
Mon Apr 26 18:02:19 PDT 2010  42        12.13 5.73 2.27 12/179 11924        800000        conservative
Mon Apr 26 18:02:20 PDT 2010  42        12.13 5.73 2.27 12/179 11930        800000        conservative
Mon Apr 26 18:02:21 PDT 2010  42        12.20 5.85 2.33 12/179 11936        800000        conservative
Mon Apr 26 18:02:22 PDT 2010  42        12.20 5.85 2.33 12/179 11942        800000        conservative
Mon Apr 26 18:02:24 PDT 2010  42        12.20 5.85 2.33 13/179 11948        800000        conservative
Mon Apr 26 18:02:25 PDT 2010  42        12.20 5.85 2.33 13/179 11954        800000        conservative
Mon Apr 26 18:02:26 PDT 2010  42        12.03 5.91 2.37 12/178 11960        800000        conservative
Mon Apr 26 18:02:28 PDT 2010  42        12.03 5.91 2.37 12/178 11966        800000        conservative
Mon Apr 26 18:02:29 PDT 2010  42        12.03 5.91 2.37 12/178 11972        800000        conservative
Mon Apr 26 18:02:30 PDT 2010  42        12.03 5.91 2.37 12/178 11978        800000        conservative
Mon Apr 26 18:02:31 PDT 2010  42        11.94 6.00 2.42 12/178 11984        800000        conservative
Mon Apr 26 18:02:33 PDT 2010  42        11.94 6.00 2.42 12/178 11990        800000        conservative
Mon Apr 26 18:02:34 PDT 2010  42        11.94 6.00 2.42 12/178 11996        800000        conservative
Mon Apr 26 18:02:35 PDT 2010  42        11.94 6.00 2.42 12/178 12002        800000        conservative
Mon Apr 26 18:02:36 PDT 2010  42        11.79 6.07 2.46 13/178 12008        800000        conservative
Mon Apr 26 18:02:38 PDT 2010  42        11.79 6.07 2.46 12/178 12014        800000        conservative
Mon Apr 26 18:02:39 PDT 2010  42        11.79 6.07 2.46 12/178 12020        800000        conservative
Mon Apr 26 18:02:40 PDT 2010  42        11.79 6.07 2.46 12/178 12026        800000        conservative
Mon Apr 26 18:02:41 PDT 2010  42        11.64 6.13 2.50 12/178 12032        800000        conservative
Mon Apr 26 18:02:43 PDT 2010  42        11.64 6.13 2.50 13/178 12038        800000        conservative
Mon Apr 26 18:02:44 PDT 2010  42        11.64 6.13 2.50 12/178 12044        800000        conservative
Mon Apr 26 18:02:45 PDT 2010  42        11.64 6.13 2.50 12/178 12050        800000        conservative
Mon Apr 26 18:02:47 PDT 2010  42        11.51 6.19 2.54 12/178 12056        800000        conservative
Mon Apr 26 18:02:48 PDT 2010  42        11.51 6.19 2.54 12/178 12062        800000        conservative
Mon Apr 26 18:02:49 PDT 2010  42        11.51 6.19 2.54 13/178 12068        800000        conservative
Mon Apr 26 18:02:50 PDT 2010  42        11.51 6.19 2.54 12/178 12074        800000        conservative
Mon Apr 26 18:02:52 PDT 2010  42        11.39 6.26 2.58 12/178 12080        800000        conservative
Mon Apr 26 18:02:53 PDT 2010  42        11.39 6.26 2.58 12/178 12086        800000        conservative
Mon Apr 26 18:02:54 PDT 2010  42        11.39 6.26 2.58 12/178 12092        800000        conservative
Mon Apr 26 18:02:55 PDT 2010  42        11.39 6.26 2.58 12/178 12098        800000        conservative
Mon Apr 26 18:02:57 PDT 2010  42        11.28 6.32 2.62 13/178 12104        800000        conservative
Mon Apr 26 18:02:58 PDT 2010  42        11.28 6.32 2.62 13/178 12110        800000        conservative
Mon Apr 26 18:02:59 PDT 2010  42        11.28 6.32 2.62 12/178 12116        800000        conservative
Mon Apr 26 18:03:00 PDT 2010  42        11.28 6.32 2.62 12/178 12122        800000        conservative
Mon Apr 26 18:03:02 PDT 2010  42        11.34 6.41 2.67 12/178 12128        800000        conservative
Mon Apr 26 18:03:03 PDT 2010  42        11.34 6.41 2.67 12/178 12134        800000        conservative
Mon Apr 26 18:03:04 PDT 2010  42        11.34 6.41 2.67 12/178 12140        800000        conservative
Mon Apr 26 18:03:05 PDT 2010  42        11.34 6.41 2.67 12/178 12146        800000        conservative
Mon Apr 26 18:03:07 PDT 2010  42        11.23 6.47 2.71 12/178 12152        800000        conservative
Mon Apr 26 18:03:08 PDT 2010  42        11.23 6.47 2.71 12/178 12158        800000        conservative
Mon Apr 26 18:03:09 PDT 2010  42        11.23 6.47 2.71 13/178 12164        800000        conservative
Mon Apr 26 18:03:11 PDT 2010  42        11.23 6.47 2.71 13/178 12170        800000        conservative
Mon Apr 26 18:03:12 PDT 2010  42        11.37 6.58 2.76 12/178 12176        800000        conservative
Mon Apr 26 18:03:13 PDT 2010  42        11.37 6.58 2.76 13/178 12182        800000        conservative
Mon Apr 26 18:03:14 PDT 2010  42        11.37 6.58 2.76 12/178 12188        800000        conservative
Mon Apr 26 18:03:16 PDT 2010  42        11.37 6.58 2.76 12/178 12194        800000        conservative
Mon Apr 26 18:03:17 PDT 2010  42        11.26 6.64 2.80 12/178 12200        800000        conservative
Mon Apr 26 18:03:18 PDT 2010  42        11.26 6.64 2.80 12/178 12206        800000        conservative
Mon Apr 26 18:03:19 PDT 2010  42        11.26 6.64 2.80 12/178 12212        800000        conservative
Mon Apr 26 18:03:21 PDT 2010  42        11.26 6.64 2.80 13/178 12218        800000        conservative
Mon Apr 26 18:03:22 PDT 2010  42        11.16 6.69 2.84 12/178 12224        800000        conservative
Mon Apr 26 18:03:23 PDT 2010  42        11.16 6.69 2.84 12/178 12230        800000        conservative
Mon Apr 26 18:03:25 PDT 2010  42        11.16 6.69 2.84 12/178 12236        800000        conservative
Mon Apr 26 18:03:26 PDT 2010  42        11.16 6.69 2.84 12/178 12242        800000        conservative
Mon Apr 26 18:03:27 PDT 2010  42        11.31 6.80 2.89 12/178 12248        800000        conservative
Mon Apr 26 18:03:28 PDT 2010  42        11.31 6.80 2.89 12/178 12254        800000        conservative
Mon Apr 26 18:03:30 PDT 2010  42        11.31 6.80 2.89 13/178 12260        800000        conservative
Mon Apr 26 18:03:31 PDT 2010  42        11.31 6.80 2.89 13/178 12266        800000        conservative
Mon Apr 26 18:03:32 PDT 2010  42        11.20 6.85 2.93 12/178 12272        800000        conservative
Mon Apr 26 18:03:33 PDT 2010  42        11.20 6.85 2.93 12/178 12278        800000        conservative
Mon Apr 26 18:03:35 PDT 2010  42        11.20 6.85 2.93 12/178 12284        800000        conservative
Mon Apr 26 18:03:36 PDT 2010  42        11.20 6.85 2.93 12/178 12290        800000        conservative
Mon Apr 26 18:03:37 PDT 2010  42        11.35 6.95 2.98 13/178 12296        800000        conservative
Mon Apr 26 18:03:38 PDT 2010  42        11.35 6.95 2.98 12/178 12302        800000        conservative
Mon Apr 26 18:03:40 PDT 2010  42        11.35 6.95 2.98 12/178 12308        800000        conservative
Mon Apr 26 18:03:41 PDT 2010  42        11.35 6.95 2.98 12/178 12314        800000        conservative
Mon Apr 26 18:03:42 PDT 2010  42        11.40 7.04 3.03 12/178 12320        800000        conservative
Mon Apr 26 18:03:43 PDT 2010  42        11.40 7.04 3.03 12/178 12326        800000        conservative
Mon Apr 26 18:03:45 PDT 2010  42        11.40 7.04 3.03 12/178 12332        800000        conservative
Mon Apr 26 18:03:46 PDT 2010  42        11.40 7.04 3.03 12/178 12338        800000        conservative
Mon Apr 26 18:03:47 PDT 2010  42        11.53 7.13 3.09 12/178 12344        800000        conservative
Mon Apr 26 18:03:48 PDT 2010  42        11.53 7.13 3.09 13/178 12350        800000        conservative
Mon Apr 26 18:03:50 PDT 2010  42        11.53 7.13 3.09 12/178 12356        800000        conservative
Mon Apr 26 18:03:51 PDT 2010  42        11.53 7.13 3.09 13/178 12362        800000        conservative
Mon Apr 26 18:03:52 PDT 2010  42        11.64 7.23 3.14 12/178 12368        800000        conservative
Mon Apr 26 18:03:53 PDT 2010  42        11.64 7.23 3.14 12/178 12374        800000        conservative
Mon Apr 26 18:03:55 PDT 2010  42        11.64 7.23 3.14 12/178 12380        800000        conservative
Mon Apr 26 18:03:56 PDT 2010  42        11.64 7.23 3.14 12/178 12386        800000        conservative
Mon Apr 26 18:03:57 PDT 2010  42        11.83 7.34 3.20 12/178 12392        800000        conservative
Mon Apr 26 18:03:59 PDT 2010  42        11.83 7.34 3.20 12/178 12398        800000        conservative
Mon Apr 26 18:04:00 PDT 2010  42        11.83 7.34 3.20 12/178 12404        800000        conservative
Mon Apr 26 18:04:01 PDT 2010  42        11.83 7.34 3.20 13/178 12414        800000        conservative
Mon Apr 26 18:04:02 PDT 2010  42        12.01 7.45 3.25 12/178 12421        800000        conservative
Mon Apr 26 18:04:04 PDT 2010  42        12.01 7.45 3.25 12/178 12427        800000        conservative
Mon Apr 26 18:04:05 PDT 2010  42        12.01 7.45 3.25 12/178 12433        800000        conservative
Mon Apr 26 18:04:06 PDT 2010  42        12.01 7.45 3.25 12/178 12440        800000        conservative
Mon Apr 26 18:04:07 PDT 2010  42        11.93 7.51 3.30 12/178 12446        800000        conservative
Mon Apr 26 18:04:09 PDT 2010  42        11.93 7.51 3.30 12/178 12452        800000        conservative
Mon Apr 26 18:04:10 PDT 2010  42        11.93 7.51 3.30 12/178 12458        800000        conservative
Mon Apr 26 18:04:11 PDT 2010  42        11.93 7.51 3.30 12/178 12464        800000        conservative
Mon Apr 26 18:04:13 PDT 2010  42        11.93 7.59 3.34 12/178 12470        800000        conservative
Mon Apr 26 18:04:14 PDT 2010  42        11.93 7.59 3.34 12/178 12476        800000        conservative
Mon Apr 26 18:04:15 PDT 2010  42        11.93 7.59 3.34 12/178 12482        800000        conservative
Mon Apr 26 18:04:16 PDT 2010  42        11.93 7.59 3.34 12/178 12488        800000        conservative
Mon Apr 26 18:04:18 PDT 2010  42        11.86 7.64 3.38 13/178 12494        800000        conservative
Mon Apr 26 18:04:19 PDT 2010  42        11.86 7.64 3.38 13/178 12500        800000        conservative
Mon Apr 26 18:04:20 PDT 2010  42        11.86 7.64 3.38 13/178 12506        800000        conservative
Mon Apr 26 18:04:21 PDT 2010  42        11.95 7.73 3.43 13/178 12512        800000        conservative
Mon Apr 26 18:04:23 PDT 2010  42        11.95 7.73 3.43 12/178 12518        800000        conservative
Mon Apr 26 18:04:24 PDT 2010  42        11.95 7.73 3.43 12/178 12524        800000        conservative
Mon Apr 26 18:04:25 PDT 2010  42        11.95 7.73 3.43 13/178 12530        800000        conservative
Mon Apr 26 18:04:26 PDT 2010  42        11.79 7.77 3.47 12/178 12536        800000        conservative
Mon Apr 26 18:04:28 PDT 2010  42        11.79 7.77 3.47 12/178 12542        800000        conservative
Mon Apr 26 18:04:29 PDT 2010  42        11.79 7.77 3.47 12/178 12548        800000        conservative
Mon Apr 26 18:04:30 PDT 2010  42        11.79 7.77 3.47 13/178 12554        800000        conservative
Mon Apr 26 18:04:31 PDT 2010  42        11.65 7.81 3.50 12/178 12560        800000        conservative
Mon Apr 26 18:04:33 PDT 2010  42        11.65 7.81 3.50 12/178 12567        800000        conservative
Mon Apr 26 18:04:34 PDT 2010  42        11.65 7.81 3.50 12/178 12573        800000        conservative
Mon Apr 26 18:04:35 PDT 2010  42        11.65 7.81 3.50 12/178 12579        800000        conservative
Mon Apr 26 18:04:37 PDT 2010  42        11.52 7.84 3.54 12/178 12585        800000        conservative
Mon Apr 26 18:04:38 PDT 2010  42        11.52 7.84 3.54 12/178 12591        800000        conservative
Mon Apr 26 18:04:39 PDT 2010  42        11.52 7.84 3.54 13/178 12597        800000        conservative
Mon Apr 26 18:04:40 PDT 2010  42        11.52 7.84 3.54 12/178 12603        800000        conservative
Mon Apr 26 18:04:42 PDT 2010  42        11.39 7.88 3.57 12/178 12609        800000        conservative
Mon Apr 26 18:04:43 PDT 2010  42        11.39 7.88 3.57 13/178 12615        800000        conservative
Mon Apr 26 18:04:44 PDT 2010  42        11.39 7.88 3.57 12/178 12621        800000        conservative
Mon Apr 26 18:04:45 PDT 2010  42        11.39 7.88 3.57 12/178 12629        800000        conservative
Mon Apr 26 18:04:47 PDT 2010  42        11.28 7.91 3.61 12/178 12635        800000        conservative
Mon Apr 26 18:04:48 PDT 2010  42        11.28 7.91 3.61 12/178 12641        800000        conservative
Mon Apr 26 18:04:49 PDT 2010  42        11.28 7.91 3.61 13/178 12647        800000        conservative
Mon Apr 26 18:04:50 PDT 2010  42        11.28 7.91 3.61 12/178 12653        800000        conservative
